Email,Class,Is_Phishing,Risk,Social_Engineering_Elements,Actions,Reason
SUBJECT: re : txu fuel deals imbalances EMAIL: i m not sure this request is coming from settlements . . . o - - - - - original message - - - - - from : farmer daren j . sent : thursday june 28 2001 10 : 28 am to : winfree o neal d . subject : re : txu fuel deals imbalances ow was this passed through janet wallis d - - - - - original message - - - - - from : winfree o neal d . sent : thursday june 28 2001 10 : 18 am to : farmer daren j . subject : fw : txu fuel deals imbalances daren the deals listed below are related to tufco imbalances . . . let me know if you have any objections to me entering the deals . . . o neal 3 - 9686 - - - - - original message - - - - - from : griffin rebecca sent : thursday june 28 2001 9 : 58 am to : winfree o neal d . subject : txu fuel deals as my voice mail said could you add deals for the following : date : 1 / 31 - 1 / 31 location : pgev / for tufco / 4300101 volume : 1 357 mmbtu price : 3 . 94 this should be entered as a purchase with enron as buyer date : 4 / 30 - 4 / 30 location : pgev / for tufco / 4300101 volume : 8 726 mmbtu price : 3 . 94 this should be entered as a sale with enron as seller date : 5 / 31 - 5 / 31 location : pgev / for tufco / 4300101 volume : 9 912 mmbtu price : 3 . 94 this should be entered as a purchase with enron as buyer this is related to the txu fuel wagner brown contract . please let me know if you have any questions . thanks rebecca 713 - 571 - 3189,Legit,False,Low,"['multiple original messages', ""use of generic names like 'o' and 'd'""]","[""Verify the sender's identity"", 'Check for any misspelled words or suspicious links']","This email appears to be a genuine communication from an employee within the company, with no red flags indicating phishing."
SUBJECT: tenaska iv 1 / 01 EMAIL: we need to change the demand fees for tenaska iv based on actuals for jan 2001 . tenaska owes us some additional money . i have attached my netting spreadsheet if you need it . deal 514353 change mmbtu from 45 000 to 46 113 deal 384258 change amount from 3 934 644 . 50 to 3 841 888 . 11 i got your message regarding apache . i will just leave the pay the lesser ofs there until they come back for it . also mark checked with txu and we do not have the rights to get dailies for the tenaska meters . he said that only the interconnecting pipes get dailies . for the spreadsheet i am just going to prorate the actuals based on the noms . i will let you know when we receive the payment from brazos for feb 2001 so you can enter the demand fee to forward the cash to tenaska iv . thanks megan,Legit,False,Low,"['actuals', 'netting spreadsheet', 'apache', 'pay the lesser ofs']","['Verify with Tenaska IV directly for payment details', 'Check email headers and sender information', 'Be cautious of unexpected payment requests', 'Monitor account activity']","Legitimate, but contains some suspicious elements such as 'I have attached my netting spreadsheet' which may be a phishing attempt, and the email's content seems too detailed and specific. However, the overall tone and language used are typical of a company communicating with employees."
SUBJECT: re : enron weather research EMAIL: good afternoon mike : i certainly am interested in determining if there may be a potential fit there at enron . i am very enthusiastic to apply my finance and meteorology backgrounds in a market - based environment that is driven to achieve unprecedented efficiencies . attached are two documents : 1 a business - focused resume and 2 an abbreviated meteorology cv . graduate meteorology coursework included advanced atmospheric dynamics i and ii advanced physical meteorology boundary layer modeling numerical modeling research methods in meteorology and turbulence . i will look forward to hearing from you . sincerely greg hunt - - - - - original message - - - - - from : to : cc : sent : friday april 27 2001 9 : 12 am subject : enron weather research > > greg > > hello and by way of introduction we were forwarded your e - mail address by > heather thorne . > > i understand you have an m . s . in meteorology as well as an m . b . a . in > finance and have done some research at livermore . > > i d be happy to learn more about your activities and if you are > interested to see if there may be a potential fit here at enron . > > can you e - mail your resume with a description of your coursework and > research activities > > looking forward to hearing from you > > mike roberts > vice president - research > - greg hunt _ resume _ 4 - 27 - 01 . doc - greg hunt _ cv _ meteorology _ 4 - 27 - 01 . doc,Legit,False,Low,"['Personalization', 'Request for Resume and CV']","[""Verify sender's position and company before responding"", 'Be cautious with links and attachments from unknown senders']","The email appears to be a job inquiry, but the language used is overly formal and lacks specific details about the job opening. The request for resume and CV is common in legitimate job applications."
"SUBJECT: Re: opensuse Beagle waste EMAIL: Aaron Kulkis wrote: > David C. Rankin wrote: >> Carl Spitzer wrote: >>> Seems in addition to wasting CPU resources its a drive hog. >>> So I put in a warning line in dot bashrc >>> >>> du ./.beagle/ -ch tail >>> >>> so each time i open a konsole I get a read on how much waste. >>> >>> Perhaps if it were redeveloped not as a daeman but as a stand alone we >>> could control with cron it would be more useful. >>> >> >> This is absolutely ridiculous. Thats nearly 20 of the / >> partition wasted on the dreaded_dog. >> >> 835M ./.beagle/ >> 835M total >> 23:11 Rankin-P35a> > > In other news an American Beagle won Best in Show at the > Westminster New York Kennel Club Dog Show for the first > time in the over 100 year history of their competitions. >> >> This will fix it >> >> sudo rpm -e rpm -qa grep beagle kerry rm -r /.beagle >> > In other news there is growing concern that the increase in popularity of Beagles following Best in Show win will result in an increase of Beagles being returned to animal shelters as their owners find they are not able to bond with the animals or tolerate the dogs characteristic baying which will result in increase euthanasia of the canines using a new euthanasia cocktail labeled ""rpm -e"". -- David C. Rankin J.D. P.E. Rankin Law Firm PLLC 510 Ochiltree Street Nacogdoches Texas 75961 Telephone: 936 715-9333 Facsimile: 936 715-9339 www.rankinlawfirm.com",Legit,False,Low,"['Urgent Action Required', 'Fake News']","[""Verify sender's identity"", 'Check for spelling mistakes']","Legitimate email with a misleading subject line, suspicious link removal request, and grammatical errors."
FROM: Justin Mason SUBJECT: SACVS CVS: spamassassin/lib/Mail/SpamAssassin Conf.pm1.91.2.21.91.2.3 EMAIL: Update of /cvsroot/spamassassin/spamassassin/lib/Mail/SpamAssassin In directory usw-pr-cvs1:/tmp/cvs-serv17442/lib/Mail/SpamAssassin Modified Files: Tag: b2_4_0 Conf.pm Log Message: added a warning for ISPs in required_hits manual entry Index: Conf.pm RCS file: /cvsroot/spamassassin/spamassassin/lib/Mail/SpamAssassin/Conf.pmv retrieving revision 1.91.2.2 retrieving revision 1.91.2.3 diff -b -w -u -d -r1.91.2.2 -r1.91.2.3 --- Conf.pm 21 Aug 2002 16:27:27 -0000 1.91.2.2 Conf.pm 21 Aug 2002 16:32:55 -0000 1.91.2.3 @@ -3967 39611 @@ item required_hits n.nn default: 5 Set the number of hits required before a mail is considered spam. C can -be an integer or a real number. be an integer or a real number. 5.0 is the default setting and is quite aggressive it would be suitable for a single-user setup but if youre an ISP installing SpamAssassin you should probably set the default to be something much more conservative like 8.0 or 10.0. Experience has shown that you B get plenty of user complaints otherwise cut ------------------------------------------------------- This sf.net email is sponsored by: OSDN - Tired of that same old cell phone Get a new here for FREE https://www.inphonic.com/r.asprsourceforge1refcode1vs3390 _______________________________________________ Spamassassin-commits mailing list Spamassassin-commits@lists.sourceforge.net https://lists.sourceforge.net/lists/listinfo/spamassassin-commits,Legit,False,Low,"['Get a new cell phone', 'FREE']","[""Verify sender's identity through official contact channels."", 'Be cautious of unsolicited emails with links to external websites.']","This email appears to be a legitimate spamassassin commit message, but the presence of a suspicious link may indicate phishing. The social engineering elements present in this email are attempts to get the recipient to click on a link without proper verification."
"SUBJECT: TuxOnIce-users Digest Vol 36 Issue 17 EMAIL: Send TuxOnIce-users mailing list submissions to enpsfhxz-stvnz@lists.tuxonice.net To subscribe or unsubscribe via the World Wide Web visit http://lists.tuxonice.net/mailman/listinfo/tuxonice-users or via email send a message with subject or body help to ysxshwee-tyrxx-liyysxs@lists.tuxonice.net You can reach the person managing the list at ixmmppem-uqpyf-botix@lists.tuxonice.net When replying please edit your Subject line so it is more specific than ""Re: Contents of TuxOnIce-users digest..."" Todays Topics: 1. Re: USB block devices renamed after resume Tino Keitel ---------------------------------------------------------------------- >From oxvw.izxoun@tikei.de Sat Apr 26 15:49:41 2008 Message: 1 Date: Fri 15 Feb 2008 16:40:49 0100 From: Tino Keitel Subject: Re: TuxOnIce-users USB block devices renamed after resume To: enpsfhxz-stvnz@lists.tuxonice.net Message-ID: <20080215154049.GA31530@dose.home.local> Content-Type: text/plain charsetus-ascii On Mon Feb 04 2008 at 23:15:39 0600 Roman Dubtsov wrote: > Hi > > Overlooked your e-mail sorry. > > The setup is as follows: in /etc/auto.misc I have an entry for my USB > stick which has 2 partitions one for vfat and another one for ext3. > Respective device names are /dev/sdd1 and /dev/sdd2. After > hibernate-resume cycle if there are files open on USB stick device > names often change to /dev/sde1 and /dev/sde2 respectively. Meanwhile > /dev/sdd devices appear mounted. Hum I use a USB hard disk as /home with TuxOnIce since kernel 2.6.19 or so and can suspend/resume with the partition mounted without problems. One difference is that I use LVM though. Regards Tino ------------------------------ _______________________________________________ TuxOnIce-users mailing list enpsfhxz-stvnz@lists.tuxonice.net http://lists.tuxonice.net/mailman/listinfo/tuxonice-users End of TuxOnIce-users Digest Vol 36 Issue 17",Legit,False,Low,[],"[""Verify sender's email address and look for spelling mistakes."", 'Check the authenticity of the message by contacting the list owner or administrator.']","Legitimate email from a trusted source, TuxOnIce-users mailing list."
SUBJECT: final guest list rooming list EMAIL: attached for your reference and review is the final guest list with activities as well as the rooming list . i will be sending both our customers and employees a confirmation of this weekend s itinerary today . if you have any questions or need me to make any changes please let me know . thank you heather choate c . p . s . asst . to bob hall enron americas,Legit,False,Low,"['attached file', 'for your reference and review']","[""Verify sender's identity"", ""Check Enron Americas' official website for contact information""]",Lack of personalization and suspicious email address format.
SUBJECT: revised stwhoulry pma 08 - 31 - 01 EMAIL: kate : per our discussion i have taken out the three items you questioned about and added the additional items in my prior email bpa etc we agreed on . i have attached the revised pma file for your reference . i ll continue to work with settlments to find out what happened to the three questionable items and update you and bill on that . other than that the total pma for whourly taken today will be - 54 135 26 . let me know if you have any questions . - fran,Legit,True,High,"['Urgency', 'Request for Attachment Download', 'Misrepresentation of Intent']","['Do not download attachment or click on link', ""Verify sender's identity through phone call or email to known sender"", ""Contact company's IT department for assistance""]","The email creates a sense of urgency and implies that the recipient is part of a discussion, but does not provide enough context or evidence."
SUBJECT: fw : december crude EMAIL: let s discuss how you recommend to proceed . bill - - - - - original message - - - - - from : fuller robert sent : tuesday november 20 2001 3 : 20 pm to : moran tom shankman jeffrey a . bradford william s . subject : december crude tomorrow is the final day to schedule december barrels and we are currently short 1 220 000 barrels . we have exhausted all measures of buying crude including : settling sales financially buying from companies where we have short positions and selling physical puts . as a group we have reduced our short physical position from over 10 million barrels to 1 . 2 under extremely difficult credit terms . we believe we cannot cover the remaining 1 . 2 without prepaying a counterparty . this requires a cash infusion of approximately 22 631 000 1 220 x 18 . 55 / barrel . every effort will be made within the next 24 hours to reduce this position but the outlook is not bright . please let me know as soon as possible what can be made available to us . sincerely rob fuller,Legit,False,Low,['Urgency'],"[""Verify sender's identity"", 'Check for typos or suspicious links']","The email appears to be a real company notification, but the language used is somewhat unusual and the request seems urgent."
"SUBJECT: re : fw : parent - subsidary model EMAIL: hi again thanks for the financial data on enron s european counterparties . it is my understanding that you started out with a list of 500 such counterparties . however your spreadsheet only contains information for 72 of these european counterparties . will you please tell me the logic behind the elimination of the 400 other counterparties thanks so much iris - - - - - original message - - - - - from : parsons ben sent : tuesday april 17 2001 2 : 56 am to : mack iris cc : valnek tomas dhar amitava mumford mike subject : re : fw : parent - subsidary model hi iris the inputs and outputs generated by riskcalc can be seen in the attached file : > we only looked at the 5 - yr pd . inputs are in columns a - u . these are the inputs generated by amadeus . you can run these inputs through the riskcalc model over the web http : / / www . moodysqra . com / privfirm using the login : dupred password : detective . this is our trial licence which lasts for about 2 more weeks mike mumford will have more details about the current licence tomas valnek was getting the data from the amadeus database so i ll leave it to him to determine if houston access is possible . in the meantime you can use the dataset attached for testing purposes . ben from : iris mack / enron @ enronxgate on 12 / 04 / 2001 17 : 58 cdt to : ben parsons / lon / ect @ ect cc : amitava dhar / corp / enron @ enron subject : fw : parent - subsidary model hi ben how are you today we had a meeting with craig chaney and jeff kinneman to discuss the private firm model . they requested that i spend some time carefully analyzing the moody s riskcalc model . i noticed that you also have been looking at riskcalc - as indicated in your paper entitled "" pricing parent companies and their subsidiaries : model description and data requirements "" other than the example discussed in your paper did generate any other test statistics scores etc . also you stated that you used amadeus database . we are in the process of trying to obtain data from various data vendors - but that may take a while . in the mean time may we have access to the amadeus database or some sample dataset thanks so much iris - - - - - original message - - - - - from : valnek tomas sent : tuesday april 10 2001 9 : 10 am to : fiala markus seyfried bryan salmon scott kirkpatrick eric mumford mike fontaine jean - sebastien brooks simon price nigel diprose robert rezaeian reza gordon mike lee derek hershkovitz ilan golden sally stephan nicholas albanis george shanbhogue vasant mack iris cc : parsons ben subject : parent - subsidary model attached is a description of the parent - subsidiary model that ben and i have been working on over the last few weeks . comments welcome tv >",Legit,False,Low,"['Request for sensitive data', 'Misrepresentation of authority']","[""Verify sender's identity"", ""Check company's website for information about the recipient""]","The email appears to be a genuine communication from a supposed colleague, but it requests sensitive information and contains a request for data that is not standard for a legitimate business communication."
"FROM: scripting SUBJECT: Jon Hanna on the RSS-DEV list says that RSS was ""not designed EMAIL: URL: http://scriptingnews.userland.com/backissues/2002/09/25When:6:25:23AM Date: Wed 25 Sep 2002 13:25:23 GMT Jon Hanna on the RSS-DEV list says1 that RSS was ""not designed to be of any particular use to bloggers aggregators or metadata providers."" This is not true. Half of RSS 0.91 was scriptingNews format2 which was totally designed to model a weblog in XML. 1 http://groups.yahoo.com/group/rss-dev/message/4023 2 http://my.userland.com/stories/storyReader11",Legit,False,Low,"['old email', 'not true']","[""Verify sender's identity"", 'Check original message content']","Lack of personalization, outdated information"
SUBJECT: re : tradespark EMAIL: vince thanks for the tradespark article . i very much appreciate being able to participate in the applied learning projects . it has been very stimulating for me . i ve really enjoyed all the projects i ve worked on with the research group and ever since my interview i have had plenty of second thoughts about going back to graduate school . i m sure mit will be a good and unique experience but i wonder if it can help me find a job and a community i enjoy as much as i already have here . if possible i would like to talk with you and / or stinson about the possibility of my staying on the research team or coming back after the fall . thanks for your time . ken,Legit,False,Low,"['personalized reference', 'appeal to emotions']","[""Verify sender's identity"", 'Check for spelling errors', 'Research Tradespark']","The email contains a personalized reference and an appeal to the recipient's emotional state, which are common tactics used in phishing emails."
"FROM: John Gay SUBJECT: ILUG Optimizing for Pentium Pt.2 EMAIL: A while ago I asked what other packages I should optomize for Pentium. One person answered GlibC. This got me thinking about GCC itself so I asked on another list and got a few answers most were ""dont even think about it"" but a few suggested GCC and one pointed me to Linux From Scratch. After having a good search around the lfs site Ive decided Im going to give it a whirl. Ive got a spare box and loads of free time so why not - The lfs site however warns NOT to use optimizations when compiling GCC or GlibC A quick google found PGCC a Pentium optimizing patch for GCC but the site does not seem to have been updated in quite some time So my general plan and Im taking my time with this: Partition the hard drive for the lfs set-up with 4 partitions / /usr /var and /home. Install a base Debian system into the /home partition so I can build the rest of the system into the other partitions. Using Debian build the initial packages into the / and /usr partitions. Ill try to optimize GCC and GlibC in this first stage. chroot to the / partition and re-build the base packages for shared libs. strip de-bugging from the binaries and change the boot so the system boot from / rather than /home then move /home to its proper partition. All going well I should now have a full base Linux system running that is fully optimized for my PentiumMMX including GCC and GlibC. Now I can build zlib and then X again optimizing. And I can follow this with the various graphics libs qt lib and finally KDE. If all goes well I will probably repeate this for my Dual system once I can find a match for the slot1 550Mhz PIII Ive got. I might even be tempted to write this up for the site. Cheers John Gay -- Irish Linux Users Group: ilug@linux.ie http://www.linux.ie/mailman/listinfo/ilug for unsubscription information. List maintainer: listmaster@linux.ie",Legit,False,Low,"['asking for help', 'sharing personal experience']","[""Verify sender's credentials"", 'Check website authenticity', 'Be cautious of urgent requests']","The email is from a legitimate group and contains a genuine request for assistance, but it's essential to verify the sender's credentials and check the website authenticity before responding or taking action."
"SUBJECT: re : risk report on "" guide to electricxity hedging "" and request for EMAIL: gu est access to enrononline ed i sent a message to louise kitchen who runs the enrononline effort . she should be getting back to you shortly . vince ekrapels on 01 / 18 / 2000 12 : 00 : 12 pm to : vince j kaminski / hou / ect @ ect cc : subject : risk report on "" guide to electricxity hedging "" and request for gu est access to enrononline dear vince greetings from boston where we re doing all we can to help keep the price of gas high . as i may have told you earlier i m writing a "" guide to electricity hedging "" for risk publications similar to the report on oil . i had planned to write a significant section on enrononline and in the midst of my research on the topic was denied access by enron s gatekeeper . can you help get me in as always the best from here . ed krapels - - - - - original message - - - - - from : donna greif mailto : dcorrig @ ect . enron . com sent : tuesday january 18 2000 12 : 37 pm to : ekrapels @ esaibos . com subject : request for guest access dear mr . krapels : thank you for requesting guest access to enrononline . unfortunately we are unable to give you quest access at this time . enrononline is exclusively for those companies who can transact wholesale energy commodities and related products . in addition you had indicated within the comments section of your email that you are preparing a "" guide to electricity hedging "" for risk publications . i have forwarded your inquiry to our public relations department along with your contact information . should you not hear back from anyone within a reasonable amount of time please feel free to contact our call center at 713 853 - help 4357 . sincerely donna corrigan greif enrononline help desk 713 / 853 - 9517 - attl . htm",Legit,False,Low,"['request for guest access', ""denied access by Enron's gatekeeper""]","[""Verify the sender's identity"", 'Research Enrononline before responding']","Lack of personalization and grammatical errors suggest a legitimate email, but social engineering elements are present."
FROM: Mark Kilmartin SUBJECT: Re: ILUG How to copy some files EMAIL: How about rsync. It doesnt only work for remote files. MArk On Fri 2002-07-19 at 14:28 Niall O Broin wrote: > I have about 60G of data which I need to copy from one disk to another. > However Im not sure how I should best copy it. The problem is the bulk of > the data is images and most of these image have two directory entries i.e. > there is a hard link to each file. If I copy them using cp -a or my usual > favourite of find .cpio -pmd other_dir its going to copy each file twice > which is not what I want. dump / restore would take care of this if the > source filesystem wasnt reiserfs :- Any suggestions > > > Niall > > -- > Irish Linux Users Group: ilug@linux.ie > http://www.linux.ie/mailman/listinfo/ilug for unsubscription information. > List maintainer: listmaster@linux.ie -- Irish Linux Users Group: ilug@linux.ie http://www.linux.ie/mailman/listinfo/ilug for unsubscription information. List maintainer: listmaster@linux.ie,Legit,False,Low,"['personalized greeting', 'legitimate use case']","[""Verify sender's identity"", 'Check for typos and grammatical errors']","This email appears to be a genuine response from the Irish Linux Users Group, but the tone is somewhat informal and the language is typical of the group's style."
"SUBJECT: re : fall interviews EMAIL: this was the response i received from the ford career center regarding internship interviews . thank you lexi - - - - - - - - - - - - - - - - - - - - - - forwarded by lexi elliott / na / enron on 02 / 09 / 2001 11 : 53 am - - - - - - - - - - - - - - - - - - - - - - - - - - - "" cindy henson "" on 02 / 05 / 2001 03 : 02 : 03 pm to : cc : subject : re : fall interviews lexi : all of the companies that you mentioned interview for internships during spring february recruiting . fall is primarily when these companies come for full time recruiting . - - - - - original message - - - - - from : lexi . elliott @ enron . com mailto : lexi . elliott @ enron . com sent : monday february 05 2001 2 : 56 pm to : ljames @ mail . utexas . edu hensonc @ mail . utexas . edu cc : richard . causey @ enron . com mark . e . lindsey @ enron . com shelly . jones @ enron . com subject : fall interviews lynett and cindy : greetings from houston i have a special request for you . in order for us to prepare our campus recruiting strategy for next fall i need information regarding internship recruiting . as you know we decided to concentrate our spring 2001 effort on intern recruiting and interviewing . in order for us to ensure that we are being effective with this strategy i need to know which companies interviewed for summer interns during the fall 2000 recruiting season . companies of particular interest would be el paso williams dynegy duke consulting firms such as mckinsey and big 5 accounting firms . by providing this information you would greatly assist our effort for upcoming years . thank you in advance for your assistance . sincerely lexi elliott 713 / 853 - 4585",Legit,False,Low,"['forwarded by', 'cc']","[""Verify sender's position and company affiliation."", 'Check if Enron exists as a real company.', ""Research Lexi Elliott's role and job title.""]","Lack of modern communication protocols, outdated email address, and suspicious content make this email highly likely to be a phishing attempt. However, the email structure and language suggest it may be a genuine message from Enron."
SUBJECT: Re: Python-3000 PEP 3138- String representation in Python 3000 EMAIL: Atsuo Ishimoto wrote: >> I proposed to make the Unicode repr output a regular encoding >> thats being implemented by a codec. You could then easily >> change the encoding to whatever you need for your application >> or console. > > I think global setting is not flexible enough. And I see no benefit to > customizable repr except to keep compatible with Python 2 but I > think it is easy to migrate the existing code to the Py3k. Theres a bigger issue with trying to make whatever repr does a codec in Py3k. As a Unicode->Unicode transformation it doesnt mesh well with Py3ks strict Unicode->bytes/bytes->Unicode encoding/decoding philosophy. That said it would be nice to have a way to easily stack Unicode->Unicode transforms on top of text IO streams or byte->byte transforms on top of binary streams. Cheers Nick. -- Nick Coghlan uytankmf@gmail.com Brisbane Australia --------------------------------------------------------------- http://www.boredomandlaziness.org _______________________________________________ Python-3000 mailing list smsbmo-9552@python.org http://mail.python.org/mailman/listinfo/python-3000 Unsubscribe: http://mail.python.org/mailman/options/python-3000/python-300040tangomu.com,Legit,False,Low,"['Global setting', 'Customizable repr']",[],"The email is from a Python mailing list and contains a discussion between two individuals. The language and tone are informal, which is consistent with online discussions. There is no clear attempt to deceive or manipulate the recipient."
"SUBJECT: the new power company EMAIL: the new power company the first national residential and small business energy service provider in deregulated markets was launched today with strategic investors and partners including enron ibm and america online . h . eugene lockhart has been named president and chief executive officer of the company . he was formerly president of at t consumer services and chief marketing officer of at t as well as president of bank america s global retail bank and president and ceo of mastercard international . lockhart is joined by a number of high - level executives from the telecommunications and financial services sectors as well as several former enron executives specializing in energy commodity pricing marketing risk management and government regulatory affairs . the former enron employees include jim badum formerly managing director of consumer services at ees john henderson formerly vice president of retail risk management for ees dave eichinger formerly vice president of corporate development for enron corp . and kathleen magruder formerly vice president of government affairs for enron corp . lou pai chairman and ceo for ees will serve as non - executive chairman of the new power company . enron will provide the new power company with energy commodity pricing risk management and government / regulatory affairs . ken lay is quoted in the news release "" we ve studied the residential and small business market for several years and believe this is the optimal way to provide value to these customers . by assisting in setting up an independent company enron is able to leverage its core competencies of energy and risk management while partnering with other industry leaders to give the new power company extraordinary and immediate depth and capability . "" ken will also serve on the board of directors . the new power company is scheduled to initially provide service in pennsylvania and new jersey in the second half of 2000 . the company will be headquartered in greenwich connecticut with some operations in houston . for more information please log onto their website at http : / / www . newpowercompany . com .",Legit,False,Low,"['Urgency', 'Authority', 'Celebrity Endorsement']",['Verify the website before logging in'],"The email is phishing because it creates a sense of urgency and attempts to establish authority by mentioning well-known companies, but lacks specific details about the recipient's account or company affiliation."
"FROM: ""Bill Kearney"" SUBJECT: Re: A moment of silence for the First Amendment fwd EMAIL: > From: Owen Byrne > A flippant remark that I will probably regret - > sure theres assholes everywhere. I just remember a lunch in Spain with > a semi-famous American - I think we had about 10 nationalities at the > table and he managed to insult each of them within > 15 minutes. A historical perspective makes me think that empires - > Roman British Russian American whatever - produce > a larger proportion of assholes than subject nations and are more > likely to have them in positions of authority. Yep those that win battles collect tthe spoils. Lead and breed. Want it to be different Lead dont whine.",Legit,False,Low,"['historical perspective', 'empires', 'collect tthe spoils', 'Lead and breed']","['Ignore the email', 'Block sender if not a known contact']","Email contains a non-germanic tone, unlike Bill Kearney's typical emails."
SUBJECT: hello vince EMAIL: vince two things . do you have any comments on the interview document second i want to submit a proposal to the european financial management association meetings for next may based on our paper . the meeting is in may and is held in paris . hope you can come assuming the program committee likes our proposal - - i won the best paper award at last year s meeting so maybe we can do it again . looking forward to hearing form you so i can get bob s response to the questions . john john d . martin carr p . collins chair in finance finance department baylor university po box 98004 waco tx 76798 254 - 710 - 4473 office 254 - 710 - 1092 fax j _ martin @ baylor . edu web : http : / / hsb . baylor . edu / html / martinj / home . html,Legit,False,Low,"['Request for personal response beyond standard company correspondence', 'Implication of a potential future meeting without proper introduction or context']","[""Verify sender's job title and department before responding"", ""Check Baylor University's official website for the email address and contact information."", 'Ask for a formal proposal or invitation before considering any submissions.', ""Be cautious when sharing personal details such as Bob's response to questions.""]","The email appears to be from a legitimate sender, but it contains social engineering elements that may indicate phishing. The tone is informal, and the request for personal response without proper introduction or context raises suspicions. A thorough verification of the sender's identity and department is recommended."
"SUBJECT: year end 2000 performance feedback EMAIL: note : you will receive this message each time you are selected as a reviewer . you have been selected to participate in the year end 2000 performance management process by providing meaningful feedback on specific employee s . your feedback plays an important role in the process and your participation is critical to the success of enron s performance management goals . to complete requests for feedback access pep at http : / / pep . corp . enron . com and select perform review under performance review services . you may begin providing feedback immediately and are requested to have all feedback forms completed by friday november 17 2000 . if you have any questions regarding pep or your responsibility in the process please contact the pep help desk at : houston : 1 . 713 . 853 . 4777 option 4 london : 44 . 207 . 783 . 4040 option 4 email : perfmgmt @ enron . com thank you for your participation in this important process . the following is a cumulative list of employee feedback requests with a status of "" open . "" once you have submitted or declined an employee s request for feedback their name will no longer appear on this list . review group : enron feedback due date : nov 17 2000 employee name supervisor name date selected - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - brown elizabeth y richard a dietz oct 26 2000 burleson robert m rockey k storie nov 08 2000 donoho lindy h steven m harris nov 02 2000 hyatt jess k steven m harris oct 30 2000 scott susan c drew j fossum nov 03 2000",Legit,False,Low,"['you will receive this message each time you are selected as a reviewer', 'your participation is critical to the success of enron s performance management goals']","[""Verify the emailer's identity with Enron before providing feedback"", 'Do not click on any links from unknown senders']","The email appears to be a legitimate internal communication from Enron regarding their performance management process, but it lacks personalization and contains suspiciously formal language. The sender's contact information is also provided."
"SUBJECT: Re: IIU Eircom mail server weirdness EMAIL: The IP address is certainly correct I just did a quick ping. Martin Whelan wrote: > Hi > > I get the following > > Martin > > 220 mail05.svc.cra.dublin.eircom.net ESMTP > ehlo smtp.company.com > 250-mail05.svc.cra.dublin.eircom.net > 250-PIPELINING > 250-8BITMIME > 250-ETRN > 250 XEXDATA > > > > Brendan Kehoe wrote: >>> EHLO from this server: >>> >>> >>> vnga@smtp telnet mail1.eircom.net 25 >>> Trying 159.134.198.135... >>> Connected to mail1.eircom.net. >>> Escape character is . >>> 220 Amocom SMTP relay >>> ehlo smtp.company.com >>> 250-smtp.company.com >>> 250-PIPELINING >>> 250-SIZE 10240000 >>> 250-VRFY >>> 250-ETRN >>> 250 8BITMIME >>> <<< >>> >> Does it happen for any other mail servers you telnet to The above >> doesnt look like its Eircom youre seeing. ""This is not the mail >> server youre looking for..."" Any way its something of your own >> Going to amocom.coms port 25 I get c3.beecher.net hee hee... >> >> B >> >> _______________________________________________ >> IIU mailing list >> tzt@iiu.taint.org >> http://amgod.boxhost.net/cgi-bin/mailman/listinfo/iiu >> >> >> > -- Déise Design www.deisedesign.com 058 23647 _______________________________________________ IIU mailing list tzt@iiu.taint.org http://amgod.boxhost.net/cgi-bin/mailman/listinfo/iiu",Legit,False,Low,[' telnet to another mail server'],"[""Verify the sender's email address"", 'Check the authenticity of the email']","The email appears to be a genuine discussion thread from an Eircom mailing list, with no suspicious links or attachments."
"SUBJECT: re : ken lay s speech EMAIL: is there a difference though - - is the 460 part of the 1300 alhamd alkhayat enron corp . 1 713 853 - 0315 this message including any attachments contains confidential information intended for a specific individual and purpose and is protected by law . if you are not the intended recipient you should delete this message and are hereby notified that any disclosure copying or distribution of this message or the taking of any action based on it is strictly prohibited . maureen raymond @ ect 01 / 02 / 2001 01 : 20 pm to : alhamd alkhayat / na / enron @ enron steven j kean / na / enron @ enron margaret carson / corp / enron @ enron cc : vince j kaminski / hou / ect @ ect subject : re : ken lay s speech the 1 . 3 trillion tax cut which is frequently quoted by the press is over 10 years the 460 tax cut below is over five years . maureen raymond 01 / 02 / 2001 12 : 44 pm to : alhamd alkhayat / na / enron @ enron steven j kean / na / enron @ enron margaret carson / corp / enron @ enron cc : vince j kaminski / hou / ect @ ect subject : ken lay s speech i looked into the proposed tax cut by george w . bush . on his website he proposes a 460 billion tax cut over five years . the 213 billion "" energy tax "" imposed from 1999 to 2001 by higher energy prices is roughly half of bush s proposed tax cut . maureen",Legit,False,Low,"['Urgency and confidentiality claims', 'Threats against unauthorized disclosure']","[""Verify sender's identity and purpose before taking action""]","Legitimate email with some suspicious elements, but overall appears to be a genuine communication from Enron regarding tax cut proposals."
